window_start,window_end,protocol,src_ip_addr,src_port,dst_ip_addr,dst_port,flow_iat_std,forward_packet_length_max,total_bhlen,flow_protocol,bpkts_per_second,flow_iat_total,forward_iat_max,flow_iat_mean,forward_packet_length_mean,fpkts_per_second,flow_packets_per_second,forward_iat_total,forward_packet_length_std,total_fhlen,forward_iat_min,backward_iat_std,backward_packet_length_mean,backward_iat_total,total_forward_packets,backward_packet_length_std,backward_packet_length_min,flow_ece,forward_packet_length_min,flow_cwr,flow_rst,backward_iat_mean,flow_urg,flow_psh,forward_iat_std,total_length_of_forward_packets,backward_packet_length_max,forward_iat_mean,total_length_of_backward_packets,total_backward_packets,flow_fin,flow_ack,flow_syn,backward_iat_min,flow_iat_min,backward_iat_max,flow_iat_max,attack_flag,attack_step,attack_name
1736941612.560470,1736941622.560470,17,10.201.41.2,1985,224.0.0.2,1985,26.910000000000004,558,972,153,0.0,144.092277,72.896274,36.00,558.0,3.5999999999999996,3.5999999999999996,144.092277,0.0,0,24.458796,-9,0,0,36,-9,-9,0,558,0,0,-9,0,0,26.910000000000004,2232,-9,36.00,0,0,0,0,0,-9,24.458796,-9,72.896274,0,-,
1736941612.560470,1736941622.560470,17,10.201.41.3,1985,224.0.0.2,1985,24.210000000000004,558,1215,153,0.0,175.748832,72.589338,35.19,554.4000000000001,4.5,4.5,175.748832,7.199999999999999,0,24.039927,-9,0,0,45,-9,-9,0,540,0,0,-9,0,0,24.210000000000004,2772,-9,35.19,0,0,0,0,0,-9,24.039927,-9,72.589338,0,-,
1736941612.560470,1736941622.560470,17,10.201.41.31,7500,255.255.255.255,7500,-9,-9,0,153,0.0,0,-9,-9,0,0.0,0.0,0,-9,0,-9,-9,0,0,0,-9,-9,0,-9,0,0,-9,0,0,-9,0,-9,-9,0,0,0,0,0,-9,-9,-9,-9,0,-,
1736941612.560470,1736941622.560470,17,10.201.41.31,7500,10.201.41.255,7500,-9,-9,0,153,0.0,0,-9,-9,0,0.0,0.0,0,-9,0,-9,-9,0,0,0,-9,-9,0,-9,0,0,-9,0,0,-9,0,-9,-9,0,0,0,0,0,-9,-9,-9,-9,0,-,
1736941612.560470,1736941622.560470,17,10.201.41.89,714,10.1.5.45,53,-9,-9,0,153,0.0,0,-9,-9,0,0.0,0.0,0,-9,0,-9,-9,0,0,0,-9,-9,0,-9,0,0,-9,0,0,-9,0,-9,-9,0,0,0,0,0,-9,-9,-9,-9,0,-,
1736941612.560470,1736941622.560470,17,10.1.5.45,53,10.201.41.89,714,-9,-9,0,153,0.0,0,-9,-9,0,0.0,0.0,0,-9,0,-9,-9,0,0,0,-9,-9,0,-9,0,0,-9,0,0,-9,0,-9,-9,0,0,0,0,0,-9,-9,-9,-9,0,-,
1736941612.560470,1736941622.560470,6,10.201.41.89,840,185.125.190.97,80,1.7999999999999998,1377,1233,54,0.0,14.104395,4.702086,2.79,765.0,4.5,4.5,14.104395,307.25999999999993,0,2.349963,-9,0,0,45,-9,-9,0,594,0,0,-9,0,9,1.7999999999999998,3825,-9,2.79,0,0,9,36,9,-9,2.349963,-9,4.702086,0,-,
1736941612.560470,1736941622.560470,6,185.125.190.97,80,10.201.41.89,840,1.08,2259,747,54,0.0,4.705335,2.353437,1.53,1173.0,2.6999999999999997,2.6999999999999997,4.705335,768.51,0,2.351898,-9,0,0,27,-9,-9,0,594,0,0,-9,0,9,1.08,3519,-9,1.53,0,0,9,27,0,-9,2.351898,-9,2.353437,0,-,
1736941612.560470,1736941622.560470,17,10.201.41.89,3129,175.193.3.234,123,-9,-9,0,153,0.0,0,-9,-9,0,0.0,0.0,0,-9,0,-9,-9,0,0,0,-9,-9,0,-9,0,0,-9,0,0,-9,0,-9,-9,0,0,0,0,0,-9,-9,-9,-9,0,-,
1736941612.560470,1736941622.560470,17,175.193.3.234,123,10.201.41.89,3129,-9,-9,0,153,0.0,0,-9,-9,0,0.0,0.0,0,-9,0,-9,-9,0,0,0,-9,-9,0,-9,0,0,-9,0,0,-9,0,-9,-9,0,0,0,0,0,-9,-9,-9,-9,0,-,
1736941612.560470,1736941622.560470,17,10.201.41.208,8806,239.255.255.250,1900,-9,-9,0,153,0.0,0,-9,-9,0,0.0,0.0,0,-9,0,-9,-9,0,0,0,-9,-9,0,-9,0,0,-9,0,0,-9,0,-9,-9,0,0,0,0,0,-9,-9,-9,-9,0,-,
1736941612.560470,1736941622.560470,17,10.201.41.43,5353,224.0.0.251,5353,-9,-9,0,153,0.0,0,-9,-9,0,0.0,0.0,0,-9,0,-9,-9,0,0,0,-9,-9,0,-9,0,0,-9,0,0,-9,0,-9,-9,0,0,0,0,0,-9,-9,-9,-9,0,-,
1736941612.560470,1736941622.560470,17,10.201.41.210,138,10.201.41.255,138,-9,-9,0,153,0.0,0,-9,-9,0,0.0,0.0,0,-9,0,-9,-9,0,0,0,-9,-9,0,-9,0,0,-9,0,0,-9,0,-9,-9,0,0,0,0,0,-9,-9,-9,-9,0,-,
1736941612.560470,1736941622.560470,17,10.201.41.114,9067,224.0.0.251,5353,-9,-9,0,153,0.0,0,-9,-9,0,0.0,0.0,0,-9,0,-9,-9,0,0,0,-9,-9,0,-9,0,0,-9,0,0,-9,0,-9,-9,0,0,0,0,0,-9,-9,-9,-9,0,-,
1736941612.560470,1736941622.560470,17,10.201.41.114,7167,224.0.0.251,5353,-9,-9,0,153,0.0,0,-9,-9,0,0.0,0.0,0,-9,0,-9,-9,0,0,0,-9,-9,0,-9,0,0,-9,0,0,-9,0,-9,-9,0,0,0,0,0,-9,-9,-9,-9,0,-,
1736941612.560470,1736941622.560470,17,10.201.41.106,2407,239.192.152.143,6771,-9,-9,0,153,0.0,0,-9,-9,0,0.0,0.0,0,-9,0,-9,-9,0,0,0,-9,-9,0,-9,0,0,-9,0,0,-9,0,-9,-9,0,0,0,0,0,-9,-9,-9,-9,0,-,
1736941612.560470,1736941622.560470,17,10.201.41.106,6771,239.192.152.143,6771,-9,-9,0,153,0.0,0,-9,-9,0,0.0,0.0,0,-9,0,-9,-9,0,0,0,-9,-9,0,-9,0,0,-9,0,0,-9,0,-9,-9,0,0,0,0,0,-9,-9,-9,-9,0,-,
1736941613.560470,1736941623.560470,17,10.201.41.2,1985,224.0.0.2,1985,26.910000000000004,558,972,153,0.0,144.092277,72.896274,36.00,558.0,3.5999999999999996,3.5999999999999996,144.092277,0.0,0,24.458796,-9,0,0,36,-9,-9,0,558,0,0,-9,0,0,26.910000000000004,2232,-9,36.00,0,0,0,0,0,-9,24.458796,-9,72.896274,0,-,
1736941613.560470,1736941623.560470,17,10.201.41.3,1985,224.0.0.2,1985,24.210000000000004,558,1215,153,0.0,175.748832,72.589338,35.19,554.4000000000001,4.5,4.5,175.748832,7.199999999999999,0,24.039927,-9,0,0,45,-9,-9,0,540,0,0,-9,0,0,24.210000000000004,2772,-9,35.19,0,0,0,0,0,-9,24.039927,-9,72.589338,0,-,
1736941613.560470,1736941623.560470,17,10.201.41.31,7500,255.255.255.255,7500,-9,-9,0,153,0.0,0,-9,-9,0,0.0,0.0,0,-9,0,-9,-9,0,0,0,-9,-9,0,-9,0,0,-9,0,0,-9,0,-9,-9,0,0,0,0,0,-9,-9,-9,-9,0,-,
1736941613.560470,1736941623.560470,17,10.201.41.31,7500,10.201.41.255,7500,-9,-9,0,153,0.0,0,-9,-9,0,0.0,0.0,0,-9,0,-9,-9,0,0,0,-9,-9,0,-9,0,0,-9,0,0,-9,0,-9,-9,0,0,0,0,0,-9,-9,-9,-9,0,-,
