window_start,window_end,protocol,src_ip_addr,src_port,dst_ip_addr,dst_port,flow_iat_std,forward_packet_length_max,total_bhlen,flow_protocol,bpkts_per_second,flow_iat_total,forward_iat_max,flow_iat_mean,forward_packet_length_mean,fpkts_per_second,flow_packets_per_second,forward_iat_total,forward_packet_length_std,total_fhlen,forward_iat_min,backward_iat_std,backward_packet_length_mean,backward_iat_total,total_forward_packets,backward_packet_length_std,backward_packet_length_min,flow_ece,forward_packet_length_min,flow_cwr,flow_rst,backward_iat_mean,flow_urg,flow_psh,forward_iat_std,total_length_of_forward_packets,backward_packet_length_max,forward_iat_mean,total_length_of_backward_packets,total_backward_packets,flow_fin,flow_ack,flow_syn,backward_iat_min,flow_iat_min,backward_iat_max,flow_iat_max,attack_flag,attack_step,attack_name
1736941611.560470,1736941621.560470,17,10.201.41.208,8806,239.255.255.250,1900,-11,-11,0,187,0.0,0,-11,-11,0,0.0,0.0,0,-11,0,-11,-11,0,0,0,-11,-11,0,-11,0,0,-11,0,0,-11,0,-11,-11,0,0,0,0,0,-11,-11,-11,-11,0,-,
1736941611.560470,1736941621.560470,17,10.201.41.43,5353,224.0.0.251,5353,-11,-11,0,187,0.0,0,-11,-11,0,0.0,0.0,0,-11,0,-11,-11,0,0,0,-11,-11,0,-11,0,0,-11,0,0,-11,0,-11,-11,0,0,0,0,0,-11,-11,-11,-11,0,-,
1736941611.560470,1736941621.560470,17,10.201.41.210,138,10.201.41.255,138,-11,-11,0,187,0.0,0,-11,-11,0,0.0,0.0,0,-11,0,-11,-11,0,0,0,-11,-11,0,-11,0,0,-11,0,0,-11,0,-11,-11,0,0,0,0,0,-11,-11,-11,-11,0,-,
1736941611.560470,1736941621.560470,17,10.201.41.114,9067,224.0.0.251,5353,-11,-11,0,187,0.0,0,-11,-11,0,0.0,0.0,0,-11,0,-11,-11,0,0,0,-11,-11,0,-11,0,0,-11,0,0,-11,0,-11,-11,0,0,0,0,0,-11,-11,-11,-11,0,-,
1736941611.560470,1736941621.560470,17,10.201.41.114,7167,224.0.0.251,5353,-11,-11,0,187,0.0,0,-11,-11,0,0.0,0.0,0,-11,0,-11,-11,0,0,0,-11,-11,0,-11,0,0,-11,0,0,-11,0,-11,-11,0,0,0,0,0,-11,-11,-11,-11,0,-,
1736941611.560470,1736941621.560470,17,10.201.41.106,2407,239.192.152.143,6771,-11,-11,0,187,0.0,0,-11,-11,0,0.0,0.0,0,-11,0,-11,-11,0,0,0,-11,-11,0,-11,0,0,-11,0,0,-11,0,-11,-11,0,0,0,0,0,-11,-11,-11,-11,0,-,
1736941611.560470,1736941621.560470,17,10.201.41.106,6771,239.192.152.143,6771,-11,-11,0,187,0.0,0,-11,-11,0,0.0,0.0,0,-11,0,-11,-11,0,0,0,-11,-11,0,-11,0,0,-11,0,0,-11,0,-11,-11,0,0,0,0,0,-11,-11,-11,-11,0,-,
1736941612.560470,1736941622.560470,17,10.201.41.2,1985,224.0.0.2,1985,32.89000000000001,682,1188,187,0.0,176.112783,89.095446,44.00,682.0,4.3999999999999995,4.3999999999999995,176.112783,0.0,0,29.894084,-11,0,0,44,-11,-11,0,682,0,0,-11,0,0,32.89000000000001,2728,-11,44.00,0,0,0,0,0,-11,29.894084,-11,89.095446,0,-,
1736941612.560470,1736941622.560470,17,10.201.41.3,1985,224.0.0.2,1985,29.590000000000007,682,1485,187,0.0,214.804128,88.720302,43.01,677.6000000000001,5.5,5.5,214.804128,8.799999999999999,0,29.382133,-11,0,0,55,-11,-11,0,660,0,0,-11,0,0,29.590000000000007,3388,-11,43.01,0,0,0,0,0,-11,29.382133,-11,88.720302,0,-,
1736941612.560470,1736941622.560470,17,10.201.41.31,7500,255.255.255.255,7500,-11,-11,0,187,0.0,0,-11,-11,0,0.0,0.0,0,-11,0,-11,-11,0,0,0,-11,-11,0,-11,0,0,-11,0,0,-11,0,-11,-11,0,0,0,0,0,-11,-11,-11,-11,0,-,
