hostname,timestamp,number_of_active_tcp_open,cpu_utilization_on_user_mode,sleeping_uninterruptible,number_of_zombie_processes,total_free_memory_megabytes,free_swap_space_megabytes,cpu_utilization_on_interrupt_handling,kernel_malloc,total_memory_megabytes,cpu_waiting_time_percentage,number_of_received_tcp_segments,write_request_throughput,number_of_transmitted_udp_datagrams,cpu_running_time_on_user_mode,filesystem_metadata,number_of_open_processes,number_of_interrupt,number_of_passive_tcp_open,number_of_running_threads,number_of_transmitted_icmp_datagrams,page_cache_megabytes,number_of_received_udp_datagrams,number_of_context_switching,number_of_exit_processes,cpu_load_average_per_5_minutes,cpu_utilization_on_kernel_mode,maximum_vm_space_megabytes,disk_busy_time,clone_system_call,total_swap_space_megabytes,read_request_throughput,cpu_load_average_per_15_minutes,number_of_received_icmp_datagrams,cpu_stolen_time_percentage,cpu_running_time_on_system_mode,current_vm_space_megabytes,number_of_retransmission,cpu_load_average_per_minute,cpu_idle_time_percentage,number_of_transmitted_tcp_segments,attack_flag,attack_step,attack_name
att,1716968103,-1,66,-1,0,232.8,2000.0,2,305.6,7500.0,1,10114,72410,25,0.03,151.4,4,26.983,-1,-1,-1,3300.0,15,107.543,-1,0.72,9,5700.0,2,-1,2000.0,54308,0.82,-1,-1,0.0,10300.0,-1,0.17,723,8054,0,benign,benign
att,1716968114,-1,66,-1,0,211.4,2000.0,2,305.9,7500.0,1,10116,72416,26,0.03,151.5,4,27.142,-1,-1,-1,3400.0,15,108.125,-1,0.69,9,5700.0,2,-1,2000.0,54308,0.81,-1,-1,0.0,10300.0,-1,0.14,723,8056,0,benign,benign
att,1716968125,-1,66,-1,0,234.0,2000.0,2,306.2,7500.0,1,10118,72508,27,0.03,151.5,4,27.297,-1,-1,-1,3300.0,15,108.678,-1,0.66,9,5700.0,2,-1,2000.0,54308,0.8,-1,-1,0.0,10300.0,-1,0.11,723,8058,0,benign,benign
att,1716968136,-1,65,-1,0,238.2,2000.0,2,306.5,7500.0,1,10120,72541,28,0.03,151.6,4,27.456,-1,-1,-1,3300.0,15,109.251,-1,0.64,9,5700.0,2,-1,2000.0,54312,0.79,-1,-1,0.01,10200.0,-1,0.09,723,8060,0,benign,benign
att,1716968147,-1,65,-1,0,236.8,2000.0,2,306.8,7500.0,1,10122,72547,29,0.03,151.6,4,27.618000000000002,-1,-1,-1,3300.0,15,109.842,-1,0.61,9,5700.0,2,-1,2000.0,54312,0.78,-1,-1,0.01,10300.0,-1,0.08,723,8062,0,benign,benign
att,1716967993,-1,68,-1,0,177.2,2000.0,2,305.2,7500.0,1,9092,71618,14,0.03,151.1,4,25.426000000000002,-1,-1,-1,3400.0,14,101.98400000000001,-1,1.04,10,5700.0,2,-1,2000.0,54300,0.93,-1,-1,0.0,10300.0,-1,1.07,720,8034,0,benign,benign
att,1716968004,-1,68,-1,0,181.3,2000.0,2,305.2,7500.0,1,9094,71780,15,0.03,151.1,5,25.578,-1,-1,-1,3400.0,14,102.522,-1,1.01,10,5700.0,2,-1,2000.0,54307,0.92,-1,-1,0.0,10500.0,-1,0.9,720,8036,0,benign,benign
att,1716968015,-1,68,-1,0,231.0,2000.0,2,305.3,7500.0,1,9096,71883,16,0.03,151.2,4,25.742,-1,-1,-1,3300.0,14,103.113,-1,0.96,10,5700.0,2,-1,2000.0,54307,0.91,-1,-1,0.0,10300.0,-1,0.7,721,8038,0,benign,benign
att,1716968026,-1,67,-1,0,230.6,2000.0,2,305.3,7500.0,1,9098,71940,17,0.03,151.2,4,25.901,-1,-1,-1,3300.0,14,103.686,-1,0.93,9,5700.0,2,-1,2000.0,54307,0.9,-1,-1,0.0,10300.0,-1,0.59,721,8040,0,benign,benign
att,1716968037,-1,67,-1,0,230.2,2000.0,2,305.3,7500.0,1,9100,71957,18,0.03,151.2,4,26.049,-1,-1,-1,3300.0,14,104.209,-1,0.89,9,5700.0,2,-1,2000.0,54307,0.89,-1,-1,0.0,10300.0,-1,0.5,721,8042,0,benign,benign
att,1716968048,-1,67,-1,0,235.1,2000.0,2,305.3,7500.0,1,9102,72081,19,0.03,151.3,4,26.211000000000002,-1,-1,-1,3300.0,14,104.788,-1,0.86,9,5700.0,2,-1,2000.0,54307,0.88,-1,-1,0.0,10300.0,-1,0.42,721,8044,0,benign,benign
att,1716968059,-1,67,-1,0,236.3,2000.0,2,305.4,7500.0,1,10106,72159,21,0.03,151.3,4,26.391000000000002,-1,-1,-1,3300.0,15,105.45,-1,0.84,9,5700.0,2,-1,2000.0,54308,0.87,-1,-1,0.0,10300.0,-1,0.36,722,8046,0,benign,benign
att,1716968070,-1,67,-1,0,234.3,2000.0,2,305.4,7500.0,1,10108,72240,22,0.03,151.4,4,26.541,-1,-1,-1,3300.0,15,105.982,-1,0.79,9,5700.0,2,-1,2000.0,54308,0.85,-1,-1,0.0,10300.0,-1,0.28,722,8048,0,benign,benign
att,1716968081,-1,66,-1,0,231.5,2000.0,2,305.4,7500.0,1,10110,72300,23,0.03,151.4,4,26.698,-1,-1,-1,3300.0,15,106.55,-1,0.77,9,5700.0,2,-1,2000.0,54308,0.84,-1,-1,0.0,10300.0,-1,0.24,722,8050,0,benign,benign
att,1716968092,-1,66,-1,0,232.5,2000.0,2,305.4,7500.0,1,10112,72361,24,0.03,151.4,4,26.835,-1,-1,-1,3300.0,15,107.022,-1,0.74,9,5700.0,2,-1,2000.0,54308,0.83,-1,-1,0.0,10300.0,-1,0.2,722,8052,0,benign,benign
att,1716968103,-1,66,-1,0,232.8,2000.0,2,305.6,7500.0,1,10114,72410,25,0.03,151.4,4,26.983,-1,-1,-1,3300.0,15,107.543,-1,0.72,9,5700.0,2,-1,2000.0,54308,0.82,-1,-1,0.0,10300.0,-1,0.17,723,8054,0,benign,benign
att,1716968114,-1,66,-1,0,211.4,2000.0,2,305.9,7500.0,1,10116,72416,26,0.03,151.5,4,27.142,-1,-1,-1,3400.0,15,108.125,-1,0.69,9,5700.0,2,-1,2000.0,54308,0.81,-1,-1,0.0,10300.0,-1,0.14,723,8056,0,benign,benign
att,1716968125,-1,66,-1,0,234.0,2000.0,2,306.2,7500.0,1,10118,72508,27,0.03,151.5,4,27.297,-1,-1,-1,3300.0,15,108.678,-1,0.66,9,5700.0,2,-1,2000.0,54308,0.8,-1,-1,0.0,10300.0,-1,0.11,723,8058,0,benign,benign
att,1716968136,-1,65,-1,0,238.2,2000.0,2,306.5,7500.0,1,10120,72541,28,0.03,151.6,4,27.456,-1,-1,-1,3300.0,15,109.251,-1,0.64,9,5700.0,2,-1,2000.0,54312,0.79,-1,-1,0.01,10200.0,-1,0.09,723,8060,0,benign,benign
att,1716968147,-1,65,-1,0,236.8,2000.0,2,306.8,7500.0,1,10122,72547,29,0.03,151.6,4,27.618000000000002,-1,-1,-1,3300.0,15,109.842,-1,0.61,9,5700.0,2,-1,2000.0,54312,0.78,-1,-1,0.01,10300.0,-1,0.08,723,8062,0,benign,benign
att,1716967993,-1,68,-1,0,177.2,2000.0,2,305.2,7500.0,1,9092,71618,14,0.03,151.1,4,25.426000000000002,-1,-1,-1,3400.0,14,101.98400000000001,-1,1.04,10,5700.0,2,-1,2000.0,54300,0.93,-1,-1,0.0,10300.0,-1,1.07,720,8034,0,benign,benign
att,1716968004,-1,68,-1,0,181.3,2000.0,2,305.2,7500.0,1,9094,71780,15,0.03,151.1,5,25.578,-1,-1,-1,3400.0,14,102.522,-1,1.01,10,5700.0,2,-1,2000.0,54307,0.92,-1,-1,0.0,10500.0,-1,0.9,720,8036,0,benign,benign
att,1716968015,-1,68,-1,0,231.0,2000.0,2,305.3,7500.0,1,9096,71883,16,0.03,151.2,4,25.742,-1,-1,-1,3300.0,14,103.113,-1,0.96,10,5700.0,2,-1,2000.0,54307,0.91,-1,-1,0.0,10300.0,-1,0.7,721,8038,0,benign,benign
att,1716968026,-1,67,-1,0,230.6,2000.0,2,305.3,7500.0,1,9098,71940,17,0.03,151.2,4,25.901,-1,-1,-1,3300.0,14,103.686,-1,0.93,9,5700.0,2,-1,2000.0,54307,0.9,-1,-1,0.0,10300.0,-1,0.59,721,8040,0,benign,benign
att,1716968037,-1,67,-1,0,230.2,2000.0,2,305.3,7500.0,1,9100,71957,18,0.03,151.2,4,26.049,-1,-1,-1,3300.0,14,104.209,-1,0.89,9,5700.0,2,-1,2000.0,54307,0.89,-1,-1,0.0,10300.0,-1,0.5,721,8042,0,benign,benign
att,1716968048,-1,67,-1,0,235.1,2000.0,2,305.3,7500.0,1,9102,72081,19,0.03,151.3,4,26.211000000000002,-1,-1,-1,3300.0,14,104.788,-1,0.86,9,5700.0,2,-1,2000.0,54307,0.88,-1,-1,0.0,10300.0,-1,0.42,721,8044,0,benign,benign
att,1716968059,-1,67,-1,0,236.3,2000.0,2,305.4,7500.0,1,10106,72159,21,0.03,151.3,4,26.391000000000002,-1,-1,-1,3300.0,15,105.45,-1,0.84,9,5700.0,2,-1,2000.0,54308,0.87,-1,-1,0.0,10300.0,-1,0.36,722,8046,0,benign,benign
att,1716968070,-1,67,-1,0,234.3,2000.0,2,305.4,7500.0,1,10108,72240,22,0.03,151.4,4,26.541,-1,-1,-1,3300.0,15,105.982,-1,0.79,9,5700.0,2,-1,2000.0,54308,0.85,-1,-1,0.0,10300.0,-1,0.28,722,8048,0,benign,benign
att,1716968081,-1,66,-1,0,231.5,2000.0,2,305.4,7500.0,1,10110,72300,23,0.03,151.4,4,26.698,-1,-1,-1,3300.0,15,106.55,-1,0.77,9,5700.0,2,-1,2000.0,54308,0.84,-1,-1,0.0,10300.0,-1,0.24,722,8050,0,benign,benign
att,1716968092,-1,66,-1,0,232.5,2000.0,2,305.4,7500.0,1,10112,72361,24,0.03,151.4,4,26.835,-1,-1,-1,3300.0,15,107.022,-1,0.74,9,5700.0,2,-1,2000.0,54308,0.83,-1,-1,0.0,10300.0,-1,0.2,722,8052,0,benign,benign
att,1716968103,-1,66,-1,0,232.8,2000.0,2,305.6,7500.0,1,10114,72410,25,0.03,151.4,4,26.983,-1,-1,-1,3300.0,15,107.543,-1,0.72,9,5700.0,2,-1,2000.0,54308,0.82,-1,-1,0.0,10300.0,-1,0.17,723,8054,0,benign,benign
att,1716968114,-1,66,-1,0,211.4,2000.0,2,305.9,7500.0,1,10116,72416,26,0.03,151.5,4,27.142,-1,-1,-1,3400.0,15,108.125,-1,0.69,9,5700.0,2,-1,2000.0,54308,0.81,-1,-1,0.0,10300.0,-1,0.14,723,8056,0,benign,benign
att,1716968125,-1,66,-1,0,234.0,2000.0,2,306.2,7500.0,1,10118,72508,27,0.03,151.5,4,27.297,-1,-1,-1,3300.0,15,108.678,-1,0.66,9,5700.0,2,-1,2000.0,54308,0.8,-1,-1,0.0,10300.0,-1,0.11,723,8058,0,benign,benign
att,1716968136,-1,65,-1,0,238.2,2000.0,2,306.5,7500.0,1,10120,72541,28,0.03,151.6,4,27.456,-1,-1,-1,3300.0,15,109.251,-1,0.64,9,5700.0,2,-1,2000.0,54312,0.79,-1,-1,0.01,10200.0,-1,0.09,723,8060,0,benign,benign
att,1716968147,-1,65,-1,0,236.8,2000.0,2,306.8,7500.0,1,10122,72547,29,0.03,151.6,4,27.618000000000002,-1,-1,-1,3300.0,15,109.842,-1,0.61,9,5700.0,2,-1,2000.0,54312,0.78,-1,-1,0.01,10300.0,-1,0.08,723,8062,0,benign,benign
