hostname,timestamp,number_of_active_tcp_open,cpu_utilization_on_user_mode,sleeping_uninterruptible,number_of_zombie_processes,total_free_memory_megabytes,free_swap_space_megabytes,cpu_utilization_on_interrupt_handling,kernel_malloc,total_memory_megabytes,cpu_waiting_time_percentage,number_of_received_tcp_segments,write_request_throughput,number_of_transmitted_udp_datagrams,cpu_running_time_on_user_mode,filesystem_metadata,number_of_open_processes,number_of_interrupt,number_of_passive_tcp_open,number_of_running_threads,number_of_transmitted_icmp_datagrams,page_cache_megabytes,number_of_received_udp_datagrams,number_of_context_switching,number_of_exit_processes,cpu_load_average_per_5_minutes,cpu_utilization_on_kernel_mode,maximum_vm_space_megabytes,disk_busy_time,clone_system_call,total_swap_space_megabytes,read_request_throughput,cpu_load_average_per_15_minutes,number_of_received_icmp_datagrams,cpu_stolen_time_percentage,cpu_running_time_on_system_mode,current_vm_space_megabytes,number_of_retransmission,cpu_load_average_per_minute,cpu_idle_time_percentage,number_of_transmitted_tcp_segments,attack_flag,attack_step,attack_name
att,1716966397,-1,67,-1,0,291.7,2000.0,1,302.6,7500.0,1,22124,43611,30,0.02,124.5,4,12.433,-1,-1,-1,3400.0,18,0.0,-1,0.87,8,5700.0,4,-1,2000.0,46970,0.74,-1,-1,0.0,10100.0,-1,0.57,723,17430,0,benign,benign
att,1716966408,-1,66,-1,0,278.0,2000.0,1,302.8,7500.0,1,22126,43687,31,0.02,124.5,4,12.591000000000001,-1,-1,-1,3400.0,18,0.0,-1,0.84,8,5700.0,4,-1,2000.0,46970,0.73,-1,-1,0.0,10300.0,-1,0.48,724,17432,0,benign,benign
att,1716966419,-1,66,-1,0,295.7,2000.0,1,303.1,7500.0,1,22128,43752,32,0.02,124.5,4,12.746,-1,-1,-1,3400.0,18,0.0,-1,0.81,8,5700.0,4,-1,2000.0,46970,0.73,-1,-1,0.0,10300.0,-1,0.45,724,17434,0,benign,benign
att,1716966264,-1,70,-1,0,250.2,2000.0,1,302.2,7500.0,1,22100,42374,14,0.01,124.0,4,10.575000000000001,-1,-1,-1,3400.0,14,0.0,-1,1.12,8,5700.0,4,-1,2000.0,46904,0.8,-1,-1,0.0,10300.0,-1,1.09,720,17406,0,benign,benign
att,1716966275,-1,69,-1,0,241.0,2000.0,1,302.7,7500.0,1,22102,42398,17,0.02,124.1,5,10.729000000000001,-1,-1,-1,3400.0,14,0.0,-1,1.1,8,5700.0,4,-1,2000.0,46921,0.8,-1,-1,0.0,10400.0,-1,1.0,720,17408,0,benign,benign
att,1716966287,-1,69,-1,0,270.3,2000.0,1,302.6,7500.0,1,22104,42854,18,0.01,124.1,4,10.881,-1,-1,-1,3400.0,16,0.0,-1,1.06,8,5700.0,4,-1,2000.0,46921,0.79,-1,-1,0.0,10200.0,-1,0.85,721,17410,0,benign,benign
att,1716966298,-1,69,-1,0,255.8,2000.0,1,302.6,7500.0,1,22106,42860,19,0.01,124.2,4,11.031,-1,-1,-1,3400.0,16,0.0,-1,1.04,8,5700.0,4,-1,2000.0,46921,0.79,-1,-1,0.0,10200.0,-1,0.8,721,17412,0,benign,benign
att,1716966309,-1,69,-1,0,288.9,2000.0,1,302.7,7500.0,1,22108,42979,20,0.02,124.2,4,11.193,-1,-1,-1,3400.0,16,0.0,-1,0.99,8,5700.0,4,-1,2000.0,46921,0.77,-1,-1,0.0,10200.0,-1,0.62,721,17414,0,benign,benign
att,1716966320,-1,68,-1,0,294.4,2000.0,1,302.7,7500.0,1,22110,43057,21,0.02,124.2,4,11.352,-1,-1,-1,3400.0,16,0.0,-1,0.96,8,5700.0,4,-1,2000.0,46921,0.76,-1,-1,0.0,10200.0,-1,0.52,721,17416,0,benign,benign
att,1716966331,-1,68,-1,0,275.8,2000.0,1,302.7,7500.0,1,22112,43140,24,0.02,124.3,4,11.502,-1,-1,-1,3400.0,18,0.0,-1,0.93,8,5700.0,4,-1,2000.0,46921,0.76,-1,-1,0.0,10200.0,-1,0.44,722,17418,0,benign,benign
att,1716966342,-1,68,-1,0,285.6,2000.0,1,302.7,7500.0,1,22114,43183,25,0.02,124.3,4,11.641,-1,-1,-1,3400.0,18,0.0,-1,0.89,8,5700.0,4,-1,2000.0,46921,0.75,-1,-1,0.0,10200.0,-1,0.37,722,17420,0,benign,benign
att,1716966353,-1,68,-1,0,266.6,2000.0,1,302.7,7500.0,1,22116,43276,26,0.02,124.4,4,11.802,-1,-1,-1,3400.0,18,0.0,-1,0.9,8,5700.0,4,-1,2000.0,46921,0.75,-1,-1,0.0,10200.0,-1,0.47,722,17422,0,benign,benign
att,1716966364,-1,67,-1,0,177.0,2000.0,1,302.8,7500.0,1,22118,43345,27,0.02,124.4,4,11.961,-1,-1,-1,3500.0,18,0.0,-1,0.85,8,5700.0,4,-1,2000.0,46921,0.74,-1,-1,0.0,10300.0,-1,0.37,723,17424,0,benign,benign
att,1716966375,-1,67,-1,0,268.1,2000.0,1,302.7,7500.0,1,22120,43422,28,0.02,124.4,4,12.119,-1,-1,-1,3400.0,18,0.0,-1,0.87,8,5700.0,4,-1,2000.0,46922,0.74,-1,-1,0.0,10200.0,-1,0.54,723,17426,0,benign,benign
att,1716966386,-1,67,-1,0,257.8,2000.0,1,302.7,7500.0,1,22122,43461,29,0.02,124.4,4,12.276,-1,-1,-1,3400.0,18,0.0,-1,0.9,8,5700.0,4,-1,2000.0,46922,0.75,-1,-1,0.0,10200.0,-1,0.68,723,17428,0,benign,benign
att,1716966397,-1,67,-1,0,291.7,2000.0,1,302.6,7500.0,1,22124,43611,30,0.02,124.5,4,12.433,-1,-1,-1,3400.0,18,0.0,-1,0.87,8,5700.0,4,-1,2000.0,46970,0.74,-1,-1,0.0,10100.0,-1,0.57,723,17430,0,benign,benign
att,1716966408,-1,66,-1,0,278.0,2000.0,1,302.8,7500.0,1,22126,43687,31,0.02,124.5,4,12.591000000000001,-1,-1,-1,3400.0,18,0.0,-1,0.84,8,5700.0,4,-1,2000.0,46970,0.73,-1,-1,0.0,10300.0,-1,0.48,724,17432,0,benign,benign
att,1716966419,-1,66,-1,0,295.7,2000.0,1,303.1,7500.0,1,22128,43752,32,0.02,124.5,4,12.746,-1,-1,-1,3400.0,18,0.0,-1,0.81,8,5700.0,4,-1,2000.0,46970,0.73,-1,-1,0.0,10300.0,-1,0.45,724,17434,0,benign,benign
att,1716966264,-1,70,-1,0,250.2,2000.0,1,302.2,7500.0,1,22100,42374,14,0.01,124.0,4,10.575000000000001,-1,-1,-1,3400.0,14,0.0,-1,1.12,8,5700.0,4,-1,2000.0,46904,0.8,-1,-1,0.0,10300.0,-1,1.09,720,17406,0,benign,benign
att,1716966275,-1,69,-1,0,241.0,2000.0,1,302.7,7500.0,1,22102,42398,17,0.02,124.1,5,10.729000000000001,-1,-1,-1,3400.0,14,0.0,-1,1.1,8,5700.0,4,-1,2000.0,46921,0.8,-1,-1,0.0,10400.0,-1,1.0,720,17408,0,benign,benign
att,1716966287,-1,69,-1,0,270.3,2000.0,1,302.6,7500.0,1,22104,42854,18,0.01,124.1,4,10.881,-1,-1,-1,3400.0,16,0.0,-1,1.06,8,5700.0,4,-1,2000.0,46921,0.79,-1,-1,0.0,10200.0,-1,0.85,721,17410,0,benign,benign
att,1716966298,-1,69,-1,0,255.8,2000.0,1,302.6,7500.0,1,22106,42860,19,0.01,124.2,4,11.031,-1,-1,-1,3400.0,16,0.0,-1,1.04,8,5700.0,4,-1,2000.0,46921,0.79,-1,-1,0.0,10200.0,-1,0.8,721,17412,0,benign,benign
att,1716966309,-1,69,-1,0,288.9,2000.0,1,302.7,7500.0,1,22108,42979,20,0.02,124.2,4,11.193,-1,-1,-1,3400.0,16,0.0,-1,0.99,8,5700.0,4,-1,2000.0,46921,0.77,-1,-1,0.0,10200.0,-1,0.62,721,17414,0,benign,benign
att,1716966320,-1,68,-1,0,294.4,2000.0,1,302.7,7500.0,1,22110,43057,21,0.02,124.2,4,11.352,-1,-1,-1,3400.0,16,0.0,-1,0.96,8,5700.0,4,-1,2000.0,46921,0.76,-1,-1,0.0,10200.0,-1,0.52,721,17416,0,benign,benign
att,1716966331,-1,68,-1,0,275.8,2000.0,1,302.7,7500.0,1,22112,43140,24,0.02,124.3,4,11.502,-1,-1,-1,3400.0,18,0.0,-1,0.93,8,5700.0,4,-1,2000.0,46921,0.76,-1,-1,0.0,10200.0,-1,0.44,722,17418,0,benign,benign
att,1716966342,-1,68,-1,0,285.6,2000.0,1,302.7,7500.0,1,22114,43183,25,0.02,124.3,4,11.641,-1,-1,-1,3400.0,18,0.0,-1,0.89,8,5700.0,4,-1,2000.0,46921,0.75,-1,-1,0.0,10200.0,-1,0.37,722,17420,0,benign,benign
att,1716966353,-1,68,-1,0,266.6,2000.0,1,302.7,7500.0,1,22116,43276,26,0.02,124.4,4,11.802,-1,-1,-1,3400.0,18,0.0,-1,0.9,8,5700.0,4,-1,2000.0,46921,0.75,-1,-1,0.0,10200.0,-1,0.47,722,17422,0,benign,benign
att,1716966364,-1,67,-1,0,177.0,2000.0,1,302.8,7500.0,1,22118,43345,27,0.02,124.4,4,11.961,-1,-1,-1,3500.0,18,0.0,-1,0.85,8,5700.0,4,-1,2000.0,46921,0.74,-1,-1,0.0,10300.0,-1,0.37,723,17424,0,benign,benign
att,1716966375,-1,67,-1,0,268.1,2000.0,1,302.7,7500.0,1,22120,43422,28,0.02,124.4,4,12.119,-1,-1,-1,3400.0,18,0.0,-1,0.87,8,5700.0,4,-1,2000.0,46922,0.74,-1,-1,0.0,10200.0,-1,0.54,723,17426,0,benign,benign
att,1716966386,-1,67,-1,0,257.8,2000.0,1,302.7,7500.0,1,22122,43461,29,0.02,124.4,4,12.276,-1,-1,-1,3400.0,18,0.0,-1,0.9,8,5700.0,4,-1,2000.0,46922,0.75,-1,-1,0.0,10200.0,-1,0.68,723,17428,0,benign,benign
att,1716966397,-1,67,-1,0,291.7,2000.0,1,302.6,7500.0,1,22124,43611,30,0.02,124.5,4,12.433,-1,-1,-1,3400.0,18,0.0,-1,0.87,8,5700.0,4,-1,2000.0,46970,0.74,-1,-1,0.0,10100.0,-1,0.57,723,17430,0,benign,benign
att,1716966408,-1,66,-1,0,278.0,2000.0,1,302.8,7500.0,1,22126,43687,31,0.02,124.5,4,12.591000000000001,-1,-1,-1,3400.0,18,0.0,-1,0.84,8,5700.0,4,-1,2000.0,46970,0.73,-1,-1,0.0,10300.0,-1,0.48,724,17432,0,benign,benign
att,1716966419,-1,66,-1,0,295.7,2000.0,1,303.1,7500.0,1,22128,43752,32,0.02,124.5,4,12.746,-1,-1,-1,3400.0,18,0.0,-1,0.81,8,5700.0,4,-1,2000.0,46970,0.73,-1,-1,0.0,10300.0,-1,0.45,724,17434,0,benign,benign
